day,site_z,site_h
0,0,0
1,nan,nan
2,nan,nan
3,nan,nan
4,nan,nan
5,nan,nan
6,nan,nan
7,nan,nan
8,nan,nan
9,nan,nan
10,nan,nan
11,nan,nan
12,nan,nan
13,nan,nan
14,nan,nan
15,0.130497,nan
16,nan,nan
17,0.128887,nan
18,nan,nan
19,0.220017,nan
20,0.541168,nan
21,nan,nan
22,0.480898,nan
23,0.56895,nan
24,0.636919,nan
25,0.57746,nan
26,0.384225,nan
27,0.211134,nan
28,0.0821113,nan
29,0.141588,nan
30,0.20467,nan
31,0.1933,nan
32,0.0873227,nan
33,0.0742822,nan
34,0.571168,nan
35,0.678133,nan
36,0.700906,nan
37,0.671532,nan
38,0.766483,nan
39,0.819871,nan
40,0.840177,nan
41,0.829036,nan
42,0.900558,nan
43,nan,nan
44,1.34716,nan
45,1.32927,nan
46,1.35219,nan
47,1.37414,nan
48,1.38432,nan
49,1.39964,nan
50,1.41744,nan
51,1.4387,nan
52,1.45949,nan
53,1.47101,nan
54,nan,nan
55,nan,nan
56,nan,nan
57,nan,nan
58,nan,nan
59,nan,nan
60,1.61331,nan
61,1.63712,nan
62,1.68476,nan
63,1.71654,nan
64,1.73366,nan
65,1.7375,nan
66,1.7428,nan
67,1.7487,nan
68,1.74604,nan
69,1.75196,nan
70,1.75741,nan
71,1.77124,nan
72,1.76185,nan
73,1.7747,nan
74,1.78765,nan
75,1.80059,nan
76,1.81446,nan
77,1.83002,nan
78,1.84665,nan
79,1.85163,nan
80,1.86178,nan
81,1.8687,nan
82,1.87218,nan
83,1.87116,nan
84,1.87629,nan
85,1.87696,nan
86,1.87762,nan
87,1.87539,nan
88,1.87469,nan
89,1.87604,nan
90,1.88063,nan
91,1.88767,nan
92,1.88964,nan
93,1.88959,nan
94,1.90297,nan
95,1.90881,nan
96,1.90873,nan
97,1.9124,nan
98,nan,nan
99,nan,nan
100,nan,nan
101,nan,nan
102,nan,nan
103,nan,nan
104,nan,nan
105,nan,nan
106,nan,nan
107,nan,nan
108,nan,nan
109,nan,nan
110,2.02836,nan
111,2.05431,nan
112,2.04955,nan
113,2.08021,nan
114,2.0884,nan
115,2.08492,nan
116,2.08621,nan
117,2.10629,nan
118,2.13502,nan
119,2.15719,nan
120,2.16618,nan
121,2.17685,nan
122,2.19905,nan
123,2.19463,nan
124,2.20044,nan
125,2.2506,nan
126,2.25341,nan
127,2.25071,nan
128,2.23205,nan
129,2.23229,nan
130,2.23693,nan
131,2.2553,nan
132,2.2465,nan
133,2.25262,nan
134,2.2604,nan
135,2.26475,nan
136,2.2851,nan
137,2.27737,nan
138,2.27791,nan
139,2.27933,nan
140,2.28647,nan
141,2.29583,nan
142,2.28925,nan
143,2.29978,nan
144,2.29367,nan
145,2.29482,nan
146,2.29505,nan
147,2.29897,nan
148,2.31335,nan
149,2.32717,nan
150,2.33603,nan
151,2.32884,nan
152,2.32734,nan
153,2.33421,nan
154,2.32669,nan
155,2.32458,nan
156,2.32741,nan
157,2.32971,nan
158,2.32717,nan
159,2.33443,nan
160,2.3411,nan
161,2.3457,nan
162,2.35902,nan
163,2.34866,nan
164,2.35403,nan
165,2.36718,nan
166,2.37906,nan
167,2.38682,nan
168,2.38614,nan
169,2.38079,nan
170,2.37635,nan
171,2.37895,nan
172,2.37345,nan
173,2.368,nan
174,2.3584,nan
175,2.36253,nan
176,2.37317,nan
177,2.38912,nan
178,2.39851,nan
179,2.39492,nan
180,2.39966,nan
181,2.40346,nan
182,2.40518,nan
183,2.40222,nan
184,2.39459,nan
185,2.38713,nan
186,2.38513,nan
187,2.38516,nan
188,2.40806,nan
189,2.39526,nan
190,2.39642,nan
191,2.40597,nan
192,2.40965,nan
193,2.42081,nan
194,2.43094,nan
195,2.41725,nan
196,2.42834,nan
197,2.42262,nan
198,2.42252,nan
199,2.42771,nan
200,2.42211,nan
201,2.41697,nan
202,2.41901,nan
203,2.42244,nan
204,2.41453,nan
205,2.4087,nan
206,2.41009,nan
207,2.42075,nan
208,2.41528,nan
209,2.40966,nan
210,2.41414,nan
211,2.42036,nan
212,2.40355,nan
213,2.40258,nan
214,2.41212,nan
215,2.4054,nan
216,2.42366,nan
217,2.4295,nan
218,2.42712,nan
219,2.42711,nan
220,2.43833,nan
221,2.44884,nan
222,2.45394,nan
223,nan,nan
224,nan,nan
225,nan,nan
226,nan,nan
227,nan,nan
228,nan,nan
229,nan,nan
230,nan,nan
231,nan,nan
232,nan,nan
233,nan,nan
234,nan,nan
235,nan,nan
236,nan,nan
237,nan,nan
238,nan,nan
239,nan,nan
240,nan,nan
241,nan,nan
242,nan,nan
243,nan,nan
