,height,ku,kf,SP,a,Sr,Ls,w%,rhod
1,0.7,2.28,2.37,0,0,50,13872,8.0,1.9
2,0.1,2.36,3.42,0,0,82,25499,15.4,1.8
3,0.3,1.64,2.13,8,7,95,32915,21.0,1.7
4,,1.49,2.06,8,7,92,35136,23.8,1.6
