,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.5,1.35,2.31,5,11,79,37232,31,1.3
2,0.3,2.18,3.01,3,13,77,24142,15,1.75
3,0.5,1.52,2.16,5,12,98,36917,25,1.6
4,,1.52,2.16,8,12,98,36917,25,1.6
