,height,ku,kf,SP,a,Sr,Ls,w%,rhod
1,0.3,1.83,1.9,0,0,45,15566,10,1.7
2,0.6,2.21,3.07,7,12,75,24280,15,1.76
3,0.3,2.41,3.48,8,12,83,25107,15,1.82
4,0.3,2.41,3.48,9,10,83,25107,15,1.82
5,0.3,2.22,3.19,6,10,79,25765,16,1.75
6,,2.45,3.14,1,10,79,25765,16,1.75
