,height,ku,kf,SP,a,Sr,Ls,w%,rhod
1,0.7,2.33,2.56,0,0,63,17397,10,1.9
2,0.5,1.52,2.16,10,6,97,36917,25,1.6
3,0.5,1.52,2.16,10,8,97,36917,25,1.6
4,,1.52,2.16,10,8,97,36917,25,1.6
