,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.75,1.97,1.62,0,0,32,8583,5,1.9
2,0.2,1.81,1.53,0,0,32,9801,6,1.8
3,0.5,1.65,1.41,2,13,32,10834,2,1.7
4,,1.89,2.87,2,13,78,29495,20,1.6
