,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.101,1.48,1.48,0.0,0,0,1250,0,2.35
2,0.367,1.22,1.27,0.5,15,28,8131,5,1.8
3,1.55,1.7,1.84,2.0,9,55,16481,10,1.8
4,,1.0,1.41,3.0,1,64,23271,27,1.27
