,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.06,1.65,1.65,0.0,0,0,1250,0.0,2.45
2,0.26,0.92,0.92,0.0,0,36,4075,2.0,2.35
3,0.43,1.65,1.7,0.0,0,42,6877,3.5,2.2
4,0.3,2.69,3.12,0.0,0,65,13128,7.0,2.06
5,0.275,1.88,2.64,1.8,12,80,27769,18.0,1.675
6,,1.44,2.05,1.8,8,87,25694,22.0,1.625
