,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.109,1.48,1.48,0,0,0,1250,0.0,2.35
2,0.383,1.77,1.89,0,0,52,7897,4.0,2.2
3,0.45,2.1,2.49,0,0,56,14018,8.0,1.92
4,,1.08,1.64,3,1,74,28573,31.5,1.27
