,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.18,1.48,1.48,0.0,0,0,1250,0,2.35
2,0.45,1.77,1.89,0.0,0,52,7897,4,2.2
3,0.2,0.08,0.08,0.0,0,0,500,0,0.3
4,0.15,2.32,2.74,0.0,0,56,14018,8,1.92
5,,1.82,1.96,4.5,9,55,16481,10,1.8
