,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.14,1.63,1.63,0,0,0,1250,0,2.4
2,0.225,1.77,1.98,0,0,59,9938,5,2.2
3,0.75,2.27,2.36,0,0,41,9035,5,2.0
4,,1.69,1.56,2,9,38,11471,7,1.8
