,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.14,1.63,1.63,0,0,0,1250,0,2.4
2,0.45,1.77,1.98,0,0,59,9938,5,2.2
3,0.06,0.04,0.04,0,0,4,2782,60,0.05
4,0.3,2.57,3.07,0,0,65,14602,8,2.0
5,,2.05,2.42,2,9,66,19821,12,1.8
