,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.115,1.63,1.63,0,0,0,1250,0.0,2.4
2,0.15,1.87,2.15,0,0,71,10959,5.5,2.2
3,0.6,1.7,1.72,0,0,28,8131,5.0,1.8
4,,2.07,2.79,2,12,82,24831,15.0,1.8
