,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.15,1.63,1.63,0.0,0,0,1250,0,2.4
2,0.7,1.6,1.6,0.0,0,36,5856,3,2.2
3,0.05,0.03,0.03,0.0,0,1,649,14,0.05
4,0.2,2.15,2.01,2.0,9,47,10891,6,2.0
5,,2.05,2.42,4.5,9,66,19821,12,1.8
