,height,ku,kf,SP,a,Sr,Ls,w%,rhod
1,0.14,1.63,1.63,0,0,0,1250,0,2.4
2,0.45,1.6,1.6,0,0,36,5856,3,2.2
3,0.05,0.03,0.03,0,0,1,649,14,0.05
4,0.75,2.39,2.61,0,0,49,10891,6,2.0
5,,1.93,2.07,2,9,55,16481,10,1.8
