,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.15,1.63,1.63,0.0,0,0,1250,0,2.4
2,0.45,1.6,1.6,0.0,0,36,5856,3,2.2
3,0.2,2.52,3.02,0.0,0,65,14602,8,2.0
4,,1.78,1.73,4.1,9,44,13141,8,1.8
