,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.1,1.48,1.48,0,0,0,1250,0.0,2.35
2,0.33,1.71,1.75,0,0,43,6469,3.3,2.2
3,0.038,0.03,0.03,0,0,1,649,14.0,0.05
4,0.13,1.48,1.48,0,0,0,1250,0.0,2.35
5,0.4,1.62,1.59,0,0,34,5040,2.6,2.2
6,0.4,2.33,2.63,0,0,57,11733,6.3,2.05
7,,1.81,2.24,4,11,76,19965,13.9,1.8
