day,date,temps,S_vals
1,1993-11-01,-1.0,1.0
2,1993-11-02,-2.0,1.0
3,1993-11-03,-4.0,1.0
4,1993-11-04,0.5,1.0
5,1993-11-05,3.0,1.0
6,1993-11-06,2.5,1.0
7,1993-11-07,-5.0,1.0
8,1993-11-08,-2.0,1.0
9,1993-11-09,1.5,1.0
10,1993-11-10,0.5,1.0
11,1993-11-11,-2.5,1.0
12,1993-11-12,0.0,1.0
13,1993-11-13,-5.5,1.0
14,1993-11-14,1.0,1.0
15,1993-11-15,0.0,1.0
16,1993-11-16,0.5,1.0
17,1993-11-17,1.5,1.0
18,1993-11-18,-1.5,1.0
19,1993-11-19,-0.5,1.0
20,1993-11-20,1.5,1.0
21,1993-11-21,-2.0,1.0
22,1993-11-22,1.0,1.0
23,1993-11-23,-7.5,1.0
24,1993-11-24,-10.5,1.0
25,1993-11-25,-12.5,1.0
26,1993-11-26,-11.5,1.0
27,1993-11-27,-1.5,1.0
28,1993-11-28,4.0,1.0
29,1993-11-29,-1.5,1.0
30,1993-11-30,-6.0,1.0
31,1993-12-01,-8.0,0.94
32,1993-12-02,-6.0,0.94
33,1993-12-03,-0.5,0.94
34,1993-12-04,-0.5,0.94
35,1993-12-05,1.0,0.94
36,1993-12-06,-0.5,0.94
37,1993-12-07,-0.5,0.94
38,1993-12-08,-5.0,0.94
39,1993-12-09,-8.0,0.94
40,1993-12-10,-1.0,0.94
41,1993-12-11,-6.0,0.94
42,1993-12-12,-8.5,0.94
43,1993-12-13,-7.5,0.94
44,1993-12-14,-6.5,0.94
45,1993-12-15,-3.0,0.94
46,1993-12-16,-6.5,0.94
47,1993-12-17,-11.0,0.94
48,1993-12-18,-8.5,0.94
49,1993-12-19,-4.0,0.94
50,1993-12-20,-5.5,0.94
51,1993-12-21,-0.5,0.94
52,1993-12-22,-6.0,0.94
53,1993-12-23,-19.0,0.94
54,1993-12-24,-17.5,0.94
55,1993-12-25,-10.5,0.94
56,1993-12-26,-15.5,0.94
57,1993-12-27,-28.5,0.94
58,1993-12-28,-29.0,0.94
59,1993-12-29,-29.5,0.94
60,1993-12-30,-19.5,0.94
61,1993-12-31,-20.0,0.94
62,1994-01-01,-12.0,0.88
63,1994-01-02,-16.5,0.88
64,1994-01-03,-23.0,0.88
65,1994-01-04,-17.0,0.88
66,1994-01-05,-17.5,0.88
67,1994-01-06,-26.0,0.88
68,1994-01-07,-23.5,0.88
69,1994-01-08,-19.5,0.88
70,1994-01-09,-21.0,0.88
71,1994-01-10,-19.0,0.88
72,1994-01-11,-18.5,0.88
73,1994-01-12,-16.0,0.88
74,1994-01-13,-12.5,0.88
75,1994-01-14,-13.0,0.88
76,1994-01-15,-24.0,0.88
77,1994-01-16,-27.5,0.88
78,1994-01-17,-23.5,0.88
79,1994-01-18,-14.5,0.88
80,1994-01-19,-28.0,0.88
81,1994-01-20,-27.0,0.88
82,1994-01-21,-22.0,0.88
83,1994-01-22,-16.0,0.88
84,1994-01-23,-24.0,0.88
85,1994-01-24,-17.0,0.88
86,1994-01-25,-23.0,0.88
87,1994-01-26,-28.5,0.88
88,1994-01-27,-21.5,0.88
89,1994-01-28,-9.0,0.88
90,1994-01-29,-14.0,0.88
91,1994-01-30,-23.0,0.88
92,1994-01-31,-27.0,0.88
93,1994-02-01,-24.0,0.82
94,1994-02-02,-20.0,0.82
95,1994-02-03,-17.0,0.82
96,1994-02-04,-18.0,0.82
97,1994-02-05,-13.0,0.82
98,1994-02-06,-17.0,0.82
99,1994-02-07,-19.5,0.82
100,1994-02-08,-27.5,0.82
101,1994-02-09,-24.0,0.82
102,1994-02-10,-23.0,0.82
103,1994-02-11,-21.5,0.82
104,1994-02-12,-18.5,0.82
105,1994-02-13,-9.5,0.82
106,1994-02-14,-8.5,0.82
107,1994-02-15,-16.5,0.82
108,1994-02-16,-8.5,0.82
109,1994-02-17,-13.0,0.82
110,1994-02-18,-9.0,0.82
111,1994-02-19,-1.5,0.82
112,1994-02-20,3.0,0.82
113,1994-02-21,2.0,0.82
114,1994-02-22,-11.0,0.82
115,1994-02-23,-15.5,0.82
116,1994-02-24,-10.5,0.82
117,1994-02-25,-11.5,0.82
118,1994-02-26,-16.5,0.82
119,1994-02-27,-16.0,0.82
120,1994-02-28,-14.0,0.82
121,1994-03-01,-16.5,0.76
122,1994-03-02,-15.5,0.76
123,1994-03-03,-9.0,0.76
124,1994-03-04,-3.5,0.76
125,1994-03-05,-0.5,0.76
126,1994-03-06,-8.0,0.76
127,1994-03-07,-5.0,0.76
128,1994-03-08,0.0,0.76
129,1994-03-09,-7.0,0.76
130,1994-03-10,-5.0,0.76
131,1994-03-11,-8.0,0.76
132,1994-03-12,-13.0,0.76
133,1994-03-13,-9.0,0.76
134,1994-03-14,-2.5,0.76
135,1994-03-15,-2.0,0.76
136,1994-03-16,0.5,0.76
137,1994-03-17,-6.5,0.76
138,1994-03-18,-6.0,0.76
139,1994-03-19,-4.5,0.76
140,1994-03-20,-1.5,0.76
141,1994-03-21,1.5,0.76
142,1994-03-22,0.0,0.76
143,1994-03-23,1.5,0.76
144,1994-03-24,0.0,0.76
145,1994-03-25,2.0,0.76
146,1994-03-26,1.5,0.76
147,1994-03-27,-2.5,0.76
148,1994-03-28,1.0,0.76
149,1994-03-29,2.5,0.76
150,1994-03-30,-3.0,0.76
151,1994-03-31,0.0,0.76
152,1994-04-01,-2.5,0.7
153,1994-04-02,-6.5,0.7
154,1994-04-03,0.5,0.7
155,1994-04-04,-0.5,0.7
156,1994-04-05,1.0,0.7
157,1994-04-06,-0.5,0.7
158,1994-04-07,-0.5,0.7
159,1994-04-08,-3.0,0.7
160,1994-04-09,1.0,0.7
161,1994-04-10,6.5,0.7
162,1994-04-11,3.0,0.7
163,1994-04-12,2.0,0.7
164,1994-04-13,4.0,0.7
165,1994-04-14,4.5,0.7
166,1994-04-15,8.0,0.7
167,1994-04-16,6.0,0.7
168,1994-04-17,3.5,0.7
169,1994-04-18,2.5,0.7
170,1994-04-19,5.0,0.7
171,1994-04-20,3.5,0.7
172,1994-04-21,1.5,0.7
173,1994-04-22,-1.0,0.7
174,1994-04-23,1.5,0.7
175,1994-04-24,1.5,0.7
176,1994-04-25,4.5,0.7
177,1994-04-26,2.5,0.7
178,1994-04-27,10.0,0.7
179,1994-04-28,2.5,0.7
180,1994-04-29,2.0,0.7
