,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.18,1.54,1.54,0.0,0,0,1250,0.0,2.37
2,0.3,1.65,1.7,0.0,0,42,6877,3.5,2.2
3,0.42,2.33,2.43,0.0,0,42,9125,5.0,2.02
4,0.55,1.88,2.64,1.8,12,80,27769,18.0,1.675
5,,1.44,2.05,1.8,8,87,25694,22.0,1.625
