,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.133,1.48,1.48,0,0,0,1250,0.0,2.35
2,0.25,1.77,1.89,0,0,52,7897,4.0,2.2
3,0.548,2.1,2.49,0,0,56,14018,8.0,1.92
4,0.4,1.65,1.77,4,8,57,14287,10.5,1.8
5,,1.01,1.44,3,1,65,23860,27.5,1.27
