,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.123,1.48,1.48,0,0.0,0,1250,0,2.35
2,0.515,1.77,1.89,0,0.0,52,7897,4,2.2
3,0.463,1.36,2.17,8,3.5,94,33022,30,1.45
4,,1.09,1.67,3,1.0,76,29162,32,1.27
