day,date,temps,S_vals
157,2017-03-06,-9.8,0.76
158,2017-03-07,-13.2,0.76
159,2017-03-08,-12.7,0.76
160,2017-03-09,-7.1,0.76
161,2017-03-10,-4.2,0.76
162,2017-03-11,-9.3,0.76
163,2017-03-12,0.2,0.76
164,2017-03-13,0.6,0.76
165,2017-03-14,0.6,0.76
166,2017-03-15,-0.4,0.76
167,2017-03-16,0.2,0.76
168,2017-03-17,-1.1,0.76
169,2017-03-18,-5.4,0.76
170,2017-03-19,-8.7,0.76
171,2017-03-20,-0.3,0.76
172,2017-03-21,-0.1,0.76
173,2017-03-22,-4.6,0.76
174,2017-03-23,-4.5,0.76
175,2017-03-24,-2.6,0.76
176,2017-03-25,2.1,0.76
177,2017-03-26,4.1,0.76
178,2017-03-27,3.0,0.76
179,2017-03-28,-2.7,0.76
180,2017-03-29,-7.9,0.76
181,2017-03-30,-6.5,0.76
182,2017-03-31,1.0,0.76
183,2017-04-01,4.3,0.7
184,2017-04-02,3.1,0.7
185,2017-04-03,3.2,0.7
186,2017-04-04,4.3,0.7
187,2017-04-05,0.9,0.7
188,2017-04-06,0.8,0.7
189,2017-04-07,0.5,0.7
190,2017-04-08,2.9,0.7
191,2017-04-09,5.6,0.7
192,2017-04-10,1.0,0.7
193,2017-04-11,-3.2,0.7
194,2017-04-12,-3.2,0.7
195,2017-04-13,-3.0,0.7
196,2017-04-14,-4.5,0.7
197,2017-04-15,-6.1,0.7
198,2017-04-16,-3.5,0.7
199,2017-04-17,-3.6,0.7
200,2017-04-18,-4.4,0.7
201,2017-04-19,-1.5,0.7
202,2017-04-20,1.9,0.7
203,2017-04-21,-0.7,0.7
204,2017-04-22,-1.7,0.7
205,2017-04-23,-3.1,0.7
206,2017-04-24,-4.7,0.7
207,2017-04-25,-1.2,0.7
208,2017-04-26,-2.2,0.7
209,2017-04-27,-3.7,0.7
210,2017-04-28,-3.3,0.7
211,2017-04-29,-0.7,0.7
212,2017-04-30,-0.7,0.7
213,2017-05-01,1.9,0.76
214,2017-05-02,1.3,0.76
215,2017-05-03,0.1,0.76
216,2017-05-04,3.1,0.76
217,2017-05-05,8.1,0.76
218,2017-05-06,6.2,0.76
219,2017-05-07,0.0,0.76
220,2017-05-08,-1.4,0.76
221,2017-05-09,-1.7,0.76
222,2017-05-10,-1.5,0.76
223,2017-05-11,0.4,0.76
224,2017-05-12,2.0,0.76
225,2017-05-13,4.2,0.76
226,2017-05-14,6.6,0.76
227,2017-05-15,2.6,0.76
228,2017-05-16,5.2,0.76
229,2017-05-17,9.0,0.76
230,2017-05-18,9.0,0.76
231,2017-05-19,6.9,0.76
232,2017-05-20,7.9,0.76
233,2017-05-21,6.1,0.76
234,2017-05-22,4.1,0.76
235,2017-05-23,7.4,0.76
236,2017-05-24,6.2,0.76
237,2017-05-25,6.7,0.76
238,2017-05-26,7.9,0.76
239,2017-05-27,12.9,0.76
240,2017-05-28,12.5,0.76
241,2017-05-29,8.9,0.76
242,2017-05-30,7.2,0.76
243,2017-05-31,2.5,0.76
