day,date,temps,S_vals,Unnamed: 4
143,2018-02-20,-9.5,0.82,-9.7
144,2018-02-21,-7.9,0.82,-9.2
145,2018-02-22,-5.8,0.82,-7.8
146,2018-02-23,-6.2,0.82,-7.6
147,2018-02-24,-7.0,0.82,-7.3
148,2018-02-25,-12.7,0.82,-7.4
149,2018-02-26,-19.1,0.82,-12.4
150,2018-02-27,-19.5,0.82,-15.5
151,2018-02-28,-27.2,0.82,-20.0
152,2018-03-01,-27.2,0.76,-22.7
153,2018-03-02,-24.8,0.76,-22.9
154,2018-03-03,-13.0,0.76,-18.9
155,2018-03-04,-11.5,0.76,-15.8
156,2018-03-05,-9.6,0.76,-13.5
157,2018-03-06,-8.2,0.76,-11.3
158,2018-03-07,-5.5,0.76,-9.5
159,2018-03-08,-4.9,0.76,-8.7
160,2018-03-09,-7.5,0.76,-8.4
161,2018-03-10,-7.4,0.76,-8.0
162,2018-03-11,-12.0,0.76,-11.6
163,2018-03-12,-5.5,0.76,-8.6
164,2018-03-13,-5.8,0.76,-7.8
165,2018-03-14,-9.0,0.76,-8.7
166,2018-03-15,-15.5,0.76,-13.4
167,2018-03-16,-15.8,0.76,-15.2
168,2018-03-17,-18.3,0.76,-17.6
169,2018-03-18,-6.3,0.76,-13.2
170,2018-03-19,-2.6,0.76,-7.8
171,2018-03-20,-2.5,0.76,-7.9
172,2018-03-21,-0.3,0.76,-5.4
173,2018-03-22,-1.2,0.76,-4.4
174,2018-03-23,-0.6,0.76,-4.1
175,2018-03-24,0.9,0.76,-3.4
176,2018-03-25,-2.6,0.76,-4.6
177,2018-03-26,-11.4,0.76,-6.6
178,2018-03-27,-15.9,0.76,-11.3
179,2018-03-28,-14.8,0.76,-12.9
180,2018-03-29,-13.1,0.76,-13.3
181,2018-03-30,-13.9,0.76,-14.2
182,2018-03-31,-15.0,0.76,-15.3
183,2018-04-01,-12.1,0.7,-14.8
184,2018-04-02,-8.1,0.7,-11.3
185,2018-04-03,-6.3,0.7,-9.6
186,2018-04-04,-1.7,0.7,-6.0
187,2018-04-05,-0.9,0.7,-4.3
188,2018-04-06,-3.2,0.7,-3.9
189,2018-04-07,-2.6,0.7,-3.6
190,2018-04-08,1.0,0.7,-1.7
191,2018-04-09,-1.4,0.7,-0.5
192,2018-04-10,-4.1,0.7,-2.0
193,2018-04-11,-2.2,0.7,-0.9
194,2018-04-12,-1.0,0.7,
195,2018-04-13,2.8,0.7,
196,2018-04-14,3.8,0.7,
197,2018-04-15,3.1,0.7,
198,2018-04-16,2.7,0.7,
199,2018-04-17,5.4,0.7,
200,2018-04-18,5.4,0.7,
201,2018-04-19,5.2,0.7,
202,2018-04-20,4.8,0.7,
203,2018-04-21,2.6,0.7,
204,2018-04-22,4.5,0.7,
205,2018-04-23,3.9,0.7,
206,2018-04-24,4.7,0.7,
207,2018-04-25,2.1,0.7,
208,2018-04-26,1.7,0.7,
209,2018-04-27,1.3,0.7,
210,2018-04-28,1.9,0.7,
211,2018-04-29,2.1,0.7,
212,2018-04-30,1.9,0.7,
213,2018-05-01,1.1,0.76,
214,2018-05-02,4.7,0.76,
215,2018-05-03,4.2,0.76,
216,2018-05-04,5.5,0.76,
217,2018-05-05,10.3,0.76,
218,2018-05-06,7.6,0.76,
219,2018-05-07,8.1,0.76,
220,2018-05-08,12.1,0.76,
221,2018-05-09,15.0,0.76,
222,2018-05-10,14.7,0.76,
223,2018-05-11,6.3,0.76,
224,2018-05-12,10.8,0.76,
225,2018-05-13,13.6,0.76,
226,2018-05-14,15.4,0.76,
227,2018-05-15,14.7,0.76,
228,2018-05-16,6.1,0.76,
229,2018-05-17,5.2,0.76,
230,2018-05-18,6.5,0.76,
231,2018-05-19,8.8,0.76,
232,2018-05-20,11.7,0.76,
233,2018-05-21,14.5,0.76,
234,2018-05-22,9.5,0.76,
235,2018-05-23,10.4,0.76,
236,2018-05-24,13.7,0.76,
237,2018-05-25,12.9,0.76,
238,2018-05-26,11.0,0.76,
239,2018-05-27,15.0,0.76,
240,2018-05-28,16.9,0.76,
241,2018-05-29,14.3,0.76,
242,2018-05-30,15.5,0.76,
243,2018-05-31,16.3,0.76,
