,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.55,0.75,0.71,0.0,0,4,1412,1.0,1.526
2,0.7,0.41,0.38,0.0,0,4,1626,1.0,1.757
3,0.8,0.85,0.77,0.0,0,10,3293,2.0,1.78
4,,1.5,2.14,8.1,12,100,38924,26.3,1.6
