,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.05,1.45,1.25,0.0,0,17,1110,0.5,2.4
2,0.19,1.46,1.46,0.0,0,27,7326,4.0,1.98
3,0.84,0.51,0.46,0.0,0,4,1501,1.0,1.623
4,0.87,1.8,1.87,2.7,10,48,10765,5.5,2.116
5,,1.5,2.14,8.1,12,100,38924,26.3,1.6
