,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.08,1.63,1.63,0.0,0,0,1250,0.0,2.4
2,0.23,1.41,1.48,0.0,0,35,8026,4.5,1.98
3,0.81,0.53,0.49,0.0,0,4,1339,1.0,1.66
4,0.6,0.51,0.47,0.0,0,6,1956,1.5,1.54
5,0.4,0.63,0.6,0.0,0,9,3385,2.5,1.54
6,,1.51,2.29,8.1,12,98,29016,25.0,1.6
