day,date,temps,S_vals
180,2020-03-28,-4.8,0.76
181,2020-03-29,-4.0,0.76
182,2020-03-30,-3.7,0.76
183,2020-03-31,0.6,0.76
184,2020-04-01,0.5,0.7
185,2020-04-02,-2.8,0.7
186,2020-04-03,-4.8,0.7
187,2020-04-04,-6.6,0.7
188,2020-04-05,-4.1,0.7
189,2020-04-06,4.7,0.7
190,2020-04-07,4.3,0.7
191,2020-04-08,2.5,0.7
192,2020-04-09,-0.8,0.7
193,2020-04-10,-0.8,0.7
194,2020-04-11,0.7,0.7
195,2020-04-12,0.9,0.7
196,2020-04-13,-4.0,0.7
197,2020-04-14,0.8,0.7
198,2020-04-15,2.5,0.7
199,2020-04-16,-1.0,0.7
200,2020-04-17,-0.8,0.7
201,2020-04-18,0.6,0.7
202,2020-04-19,2.3,0.7
203,2020-04-20,3.4,0.7
204,2020-04-21,3.3,0.7
205,2020-04-22,3.3,0.7
206,2020-04-23,2.4,0.7
207,2020-04-24,1.7,0.7
208,2020-04-25,1.9,0.7
209,2020-04-26,0.3,0.7
210,2020-04-27,0.3,0.7
211,2020-04-28,1.4,0.7
212,2020-04-29,2.3,0.7
213,2020-04-30,2.2,0.7
