day,date,temps,S_vals
181,30/03/17,1.8,0.76
182,31/03/17,-0.7,0.76
183,01/04/17,1.8,0.7
184,02/04/17,2.6,0.7
185,03/04/17,3.7,0.7
186,04/04/17,4,0.7
187,05/04/17,6.6,0.7
188,06/04/17,3.4,0.7
189,07/04/17,3.7,0.7
190,08/04/17,1.9,0.7
191,09/04/17,0.4,0.7
192,10/04/17,-1.3,0.7
193,11/04/17,-0.4,0.7
194,12/04/17,1.3,0.7
195,13/04/17,1.8,0.7
196,14/04/17,2.4,0.7
197,15/04/17,3.4,0.7
198,16/04/17,6.9,0.7
199,17/04/17,8.7,0.7
200,18/04/17,7.6,0.7
201,19/04/17,10.3,0.7
202,20/04/17,8.7,0.7
203,21/04/17,7.7,0.7
204,22/04/17,9.9,0.7
205,23/04/17,11.8,0.7
206,24/04/17,14.6,0.7
207,25/04/17,15.4,0.7
208,26/04/17,15.5,0.7
209,27/04/17,15.6,0.7
210,28/04/17,15,0.7
211,29/04/17,11.9,0.7
212,30/04/17,8.9,0.7
