day,site_z,site_h
0,0,0
1,nan,nan
1,nan,nan
2,0,nan
2.1,nan,nan
3,nan,nan
4,nan,nan
4.6,nan,nan
5,nan,nan
5.3,nan,nan
5.3,nan,nan
6,nan,nan
7,nan,nan
8,nan,nan
9,nan,nan
10,nan,nan
11,0,nan
12,nan,nan
13,nan,nan
14,nan,nan
14,nan,nan
15,nan,nan
16,nan,nan
17,nan,nan
18,nan,nan
18,nan,nan
19,nan,nan
19.4,nan,nan
20,nan,nan
21,nan,nan
22,nan,nan
23,0.41,0
24,nan,nan
25,nan,nan
26,nan,nan
27,nan,nan
28,nan,nan
29,nan,nan
30,nan,nan
31,nan,nan
32,nan,nan
32.5,nan,nan
33,nan,nan
34,nan,nan
35,nan,nan
36,nan,nan
37,nan,nan
38,0.79,0
39,nan,nan
40,nan,nan
41,nan,nan
42,nan,nan
43,nan,nan
44,0.79,0
45,nan,nan
46,nan,nan
47,nan,nan
48,nan,nan
49,nan,nan
50,nan,nan
51,nan,nan
52,nan,nan
52,nan,nan
53,nan,nan
54,nan,nan
55,nan,nan
56,nan,nan
57,nan,nan
58,1.045,0.005
59,nan,nan
60,nan,nan
61,nan,nan
62,nan,nan
63,nan,nan
64,nan,nan
65,nan,nan
66,nan,nan
67,nan,nan
68,nan,nan
69,nan,nan
70,nan,nan
71,nan,nan
72,nan,nan
73,1.215,0.015
74,nan,nan
75,nan,nan
76,nan,nan
77,nan,nan
78,nan,nan
79,nan,nan
80,nan,nan
81,nan,nan
82,nan,nan
83,nan,nan
84,nan,nan
85,nan,nan
86,nan,nan
87,1.335,0.015
88,nan,nan
89,nan,nan
90,nan,nan
91,1.333,0.017
92,1.334,0.016
93,1.333,0.017
94,1.333,0.017
95,1.333,0.017
96,nan,nan
97,nan,nan
98,1.333,0.017
99,1.338,nan
100,1.338,nan
101,nan,nan
101.7,nan,nan
102,1.324,0.016
102.5,nan,nan
103,nan,nan
104,nan,nan
105,nan,nan
106,nan,nan
107,1.313,0.017
108,nan,nan
109,1.304,0.016
110,nan,nan
111,nan,nan
112,nan,nan
113,nan,nan
114,1.277,0.013
115,1.268,0.012
116,1.259,0.011
117,nan,nan
118,nan,nan
119,nan,nan
120,1.242,0.008
121,1.227,nan
122,1.225,0.005
123,nan,nan
124,nan,nan
125,nan,nan
126,1.178,nan
127,1.138,nan
128,nan,nan
