,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.115,1.48,1.48,0,0,0,1250,0,2.35
2,0.15,1.77,1.89,0,0,52,7897,4,2.2
3,0.6,2.1,2.49,0,0,56,14018,8,1.92
4,,1.85,2.44,2,12,82,23189,15,1.8
