,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.06,1.48,1.48,0,0,0,1250,0,2.35
2,0.26,0.92,0.92,0,0,0,1250,0,2.38
3,0.43,1.77,1.89,0,0,52,7897,4,2.2
4,0.3,2.1,2.49,0,0,56,14018,8,1.92
5,0.275,1.9,2.45,2,15,77,23161,14,1.8
6,,1.26,2.29,5,10,99,42265,40,1.3
