,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.13,1.48,1.48,0.0,0,0,1250,0,2.35
2,0.31,2.46,2.98,0.0,0,72,14967,8,2.05
3,0.1,1.48,1.48,0.0,0,0,1250,0,2.35
4,1.5,1.9,2.45,2.0,15,77,23161,14,1.8
5,,1.58,2.22,0.5,15,79,23161,14,1.8
