,height,ku,kf,SP,a,Sr,Ls,w_vol,rhod
1,0.1,1.48,1.48,0,0,0,1250,0,2.35
2,0.33,1.77,1.89,0,0,52,7897,4,2.2
3,0.038,0.03,0.03,0,0,1,649,14,0.05
4,0.13,1.48,1.48,0,0,0,1250,0,2.35
5,0.4,1.77,1.89,0,0,52,7897,4,2.2
6,0.4,2.46,2.98,0,0,72,14967,8,2.05
7,,1.85,2.39,4,11,82,21802,15,1.8
